roomID,accuracy,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numReviews,numRooms,price,rating,value,bath,private bath,shared bath,Studio,bedroom,Entire home/apt,Private room,Shared room
17122814,10.0,10.0,10.0,10.0,95.0,0,40.793150104403345,10.0,-73.9398376567798,1.0,1,1,8.0,1,33,5.0,10.0,0,0,1,0,1,0,1,0
14243671,10.0,10.0,10.0,10.0,100.0,1,40.75814524157418,10.0,-73.99338250718118,1.0,1,2,11.0,1,200,5.0,10.0,0,1,0,0,1,0,1,0
22194582,10.0,10.0,10.0,10.0,100.0,1,40.707672559836546,10.0,-73.94299818123879,2.0,5,6,4.0,2,180,5.0,10.0,1,0,0,0,1,1,0,0
4152752,10.0,10.0,10.0,10.0,96.0,1,40.76444403535851,10.0,-73.98964724399595,1.0,1,2,262.0,1,50,5.0,10.0,0,0,1,0,1,0,1,0
6364150,10.0,10.0,9.0,10.0,96.0,0,40.729172613476855,10.0,-73.98222646694373,1.0,2,4,10.0,1,320,5.0,9.0,1,0,0,0,1,1,0,0
2208567,9.0,10.0,10.0,10.0,96.0,1,40.72053155088269,10.0,-73.98900964723329,1.0,1,2,34.0,1,70,5.0,10.0,1,0,0,0,1,0,1,0
17142073,10.0,10.0,10.0,10.0,98.0,1,40.71927660809142,10.0,-73.98906736434273,1.0,2,4,75.0,1,110,5.0,10.0,1,0,0,0,1,1,0,0
13082198,9.0,10.0,9.0,10.0,89.0,0,40.74682945564425,9.0,-73.97376088705212,1.0,2,4,95.0,1,100,4.5,9.0,1,0,0,0,1,1,0,0
13192867,10.0,10.0,10.0,10.0,96.0,0,40.76101116725633,10.0,-73.96215791859406,1.0,3,6,38.0,2,265,5.0,10.0,1,0,0,0,1,1,0,0
13561752,9.0,10.0,10.0,10.0,95.0,1,40.73063732335368,10.0,-73.98607625862856,2.0,4,8,19.0,2,372,5.0,10.0,1,0,0,0,1,1,0,0
22146534,9.0,10.0,10.0,9.0,92.0,0,40.7476234976894,10.0,-73.98155714412587,3.0,5,0,5.0,4,349,4.5,10.0,1,0,0,0,1,1,0,0
5396323,10.0,10.0,10.0,10.0,97.0,1,40.728873809368636,10.0,-73.98599152993089,1.0,1,2,44.0,0,190,5.0,10.0,1,0,0,1,0,1,0,0
21297543,10.0,10.0,10.0,10.0,99.0,1,40.729354006072775,10.0,-74.00180258713831,1.0,2,3,14.0,1,178,5.0,10.0,1,0,0,0,1,1,0,0
17839997,10.0,10.0,10.0,10.0,100.0,1,40.761133961948644,9.0,-74.019711782316,2.0,4,8,40.0,4,395,5.0,10.0,1,0,0,0,1,1,0,0
20095208,9.0,10.0,10.0,10.0,97.0,0,40.70476095369789,10.0,-74.00790903071608,1.0,1,4,18.0,0,180,5.0,10.0,1,0,0,1,0,1,0,0
769448,9.0,10.0,8.0,10.0,93.0,0,40.717904284206526,10.0,-73.96107212585599,1.0,3,6,215.0,3,244,4.5,8.0,1,0,0,0,1,1,0,0
22191760,10.0,10.0,10.0,10.0,100.0,0,40.73614336616358,10.0,-73.98871521466829,1.0,1,2,4.0,1,299,5.0,10.0,0,0,1,0,1,0,1,0
9434464,10.0,10.0,10.0,10.0,97.0,1,40.81051348671507,9.0,-73.94722520315734,1.0,1,2,50.0,0,100,5.0,10.0,1,0,0,1,0,1,0,0
846854,10.0,10.0,10.0,10.0,99.0,1,40.786891939711104,10.0,-73.97313831469822,1.5,5,7,68.0,2,560,5.0,10.0,1,0,0,0,1,1,0,0
20092506,10.0,10.0,10.0,10.0,98.0,1,40.7907365085072,9.0,-73.9423214490365,1.0,1,2,48.0,1,50,5.0,10.0,0,1,0,0,1,0,1,0
19582754,10.0,10.0,10.0,10.0,99.0,1,40.76812341995045,10.0,-73.95402873018345,1.0,1,1,25.0,1,50,5.0,10.0,0,0,1,0,1,0,1,0
15452258,9.0,9.0,9.0,10.0,92.0,0,40.75688844117065,10.0,-73.99314940038725,1.0,3,3,15.0,1,75,4.5,9.0,1,0,0,0,1,0,1,0
9713045,9.0,10.0,9.0,10.0,94.0,0,40.80463404169008,9.0,-73.95043558012254,2.0,4,6,87.0,2,200,4.5,9.0,1,0,0,0,1,1,0,0
9736123,9.0,9.0,9.0,9.0,91.0,0,40.74177637577014,9.0,-73.97313235704911,1.0,2,2,11.0,1,260,4.5,9.0,1,0,0,0,1,1,0,0
4261693,10.0,10.0,10.0,10.0,96.0,0,40.757082036828066,10.0,-73.98966549895285,1.0,1,1,339.0,1,60,5.0,10.0,0,0,1,0,1,0,1,0
13089249,10.0,10.0,9.0,10.0,94.0,0,40.748064253949636,10.0,-73.97170013597137,1.0,2,4,95.0,1,139,4.5,9.0,1,0,0,0,1,1,0,0
16411398,10.0,10.0,10.0,10.0,97.0,1,40.80996873382339,10.0,-73.94120292045841,1.0,2,4,13.0,1,112,5.0,10.0,1,0,0,0,1,1,0,0
19789198,10.0,10.0,10.0,10.0,100.0,0,40.75331801040106,10.0,-74.05032644626134,1.0,1,1,6.0,1,30,5.0,10.0,0,0,1,0,1,0,1,0
12542544,10.0,10.0,10.0,10.0,96.0,1,40.76230557120499,10.0,-73.9951995419474,1.0,3,4,58.0,1,220,5.0,10.0,1,0,0,0,1,1,0,0
14164319,10.0,10.0,10.0,10.0,100.0,1,40.73101303972006,10.0,-73.95248220586268,1.0,1,3,47.0,1,250,5.0,10.0,1,0,0,0,1,1,0,0
18564012,9.0,10.0,10.0,9.0,90.0,0,40.714961445562466,10.0,-73.9459327654385,4.0,9,6,10.0,7,395,4.5,10.0,1,0,0,0,1,1,0,0
11687348,10.0,10.0,10.0,10.0,99.0,1,40.73823118452785,10.0,-74.01009038501883,1.0,1,2,34.0,0,220,5.0,10.0,1,0,0,1,0,1,0,0
14710537,10.0,10.0,10.0,10.0,100.0,0,40.71206904233604,10.0,-74.03398367656385,2.0,2,4,5.0,2,271,5.0,10.0,1,0,0,0,1,1,0,0
17702916,10.0,10.0,10.0,10.0,96.0,1,40.76437104146736,10.0,-73.99330904578234,1.0,1,1,50.0,1,55,5.0,10.0,0,0,1,0,1,0,1,0
8388457,10.0,9.0,9.0,10.0,90.0,0,40.746508237248655,10.0,-73.94660181683129,1.0,1,2,75.0,1,55,4.5,9.0,1,0,0,0,1,0,1,0
19354356,10.0,10.0,10.0,10.0,99.0,0,40.798833274184496,9.0,-74.0035246856411,1.0,1,2,34.0,1,36,5.0,10.0,0,0,1,0,1,0,1,0
20679181,10.0,10.0,10.0,10.0,100.0,0,40.72189157972392,10.0,-73.9954983805098,1.0,1,3,5.0,1,160,5.0,10.0,1,0,0,0,1,1,0,0
2022729,9.0,9.0,9.0,9.0,88.0,0,40.7234048610494,9.0,-73.98240265596097,1.0,2,3,167.0,1,110,4.5,9.0,1,0,0,0,1,1,0,0
21960279,10.0,10.0,10.0,10.0,100.0,0,40.7236224637737,10.0,-73.99696048777847,1.0,2,2,3.0,2,400,5.0,10.0,1,0,0,0,1,1,0,0
337708,9.0,9.0,8.0,9.0,85.0,0,40.7605935808898,10.0,-73.98803313434128,1.0,4,5,57.0,3,450,4.5,8.0,1,0,0,0,1,1,0,0
18693200,10.0,10.0,10.0,10.0,99.0,0,40.76319821612609,10.0,-73.99018996283081,1.0,1,2,39.0,1,165,5.0,10.0,1,0,0,0,1,1,0,0
9955725,10.0,10.0,10.0,10.0,96.0,0,40.73117309305774,10.0,-73.99774837076104,1.0,3,6,80.0,2,375,5.0,10.0,1,0,0,0,1,1,0,0
2223247,9.0,10.0,9.0,10.0,91.0,0,40.772655258795595,10.0,-73.9525687364444,1.0,2,4,11.0,2,220,4.5,9.0,1,0,0,0,1,1,0,0
9152795,10.0,10.0,10.0,10.0,98.0,1,40.71082733075138,10.0,-73.9640110546138,1.0,1,2,99.0,1,120,5.0,10.0,1,0,0,0,1,1,0,0
16300982,10.0,10.0,9.0,10.0,98.0,0,40.720178160149864,10.0,-73.98520612650479,2.0,4,6,10.0,2,250,5.0,9.0,1,0,0,0,1,1,0,0
7269771,9.0,9.0,9.0,9.0,85.0,0,40.73050468413604,10.0,-73.9804318481197,1.0,1,3,89.0,0,85,4.5,9.0,1,0,0,1,0,1,0,0
10589684,10.0,10.0,10.0,10.0,98.0,1,40.73607020817434,10.0,-73.95200580560736,1.0,1,2,77.0,1,99,5.0,10.0,1,0,0,0,1,0,1,0
1847261,10.0,10.0,9.0,10.0,94.0,1,40.714171325411726,9.0,-74.00678281287242,1.0,1,2,36.0,1,286,4.5,9.0,1,0,0,0,1,1,0,0
225724,10.0,10.0,10.0,10.0,98.0,0,40.77329432379386,10.0,-74.0177229776819,1.0,2,5,87.0,2,187,5.0,10.0,1,0,0,0,1,1,0,0
19590061,9.0,10.0,10.0,10.0,93.0,0,40.71400518253546,9.0,-73.96609839122863,1.0,3,5,36.0,2,45,4.5,10.0,1,0,0,0,1,1,0,0
20058138,10.0,10.0,10.0,10.0,97.0,1,40.759545794171025,10.0,-73.99738085798526,1.5,1,3,20.0,1,198,5.0,10.0,1,0,0,0,1,1,0,0
18867401,9.0,9.0,9.0,9.0,87.0,0,40.764386545910604,10.0,-73.96569075371691,1.0,1,3,19.0,0,195,4.5,9.0,1,0,0,1,0,1,0,0
22564762,10.0,10.0,10.0,10.0,100.0,0,40.78848821499089,10.0,-73.98022606460212,1.0,1,2,5.0,1,94,5.0,10.0,1,0,0,0,1,1,0,0
16412449,10.0,10.0,10.0,10.0,100.0,1,40.721775095458156,10.0,-73.95769734575374,1.0,3,4,51.0,1,90,5.0,10.0,1,0,0,0,1,1,0,0
12912510,9.0,10.0,9.0,10.0,93.0,0,40.716379819343956,10.0,-73.95683902849031,2.0,2,4,27.0,1,325,4.5,9.0,1,0,0,0,1,1,0,0
5944801,9.0,10.0,9.0,10.0,93.0,1,40.80947230440592,9.0,-73.95392218793447,1.0,3,6,49.0,2,250,4.5,9.0,1,0,0,0,1,1,0,0
21262993,9.0,10.0,9.0,10.0,93.0,0,40.72962527235171,10.0,-74.00309230741517,1.0,1,3,4.0,1,329,4.5,9.0,1,0,0,0,1,1,0,0
20154289,10.0,10.0,10.0,10.0,97.0,1,40.707678822799224,10.0,-73.93622868303956,2.0,1,2,21.0,1,39,5.0,10.0,0,0,1,0,1,0,1,0
20330822,10.0,10.0,9.0,10.0,98.0,0,40.79312066581572,10.0,-73.96886379383595,1.5,1,2,19.0,1,219,5.0,9.0,1,0,0,0,1,1,0,0
15780300,10.0,10.0,10.0,10.0,97.0,0,40.77006497257264,9.0,-74.02225341274158,1.0,5,0,22.0,4,168,5.0,10.0,1,0,0,0,1,1,0,0
14199334,10.0,10.0,10.0,10.0,100.0,0,40.738691407816745,10.0,-74.00941163203801,1.0,1,3,10.0,1,240,5.0,10.0,1,0,0,0,1,1,0,0
5334478,10.0,10.0,9.0,10.0,96.0,1,40.74326137989429,10.0,-74.0000362000393,1.0,2,2,55.0,1,199,5.0,9.0,1,0,0,0,1,1,0,0
20761314,10.0,10.0,10.0,10.0,97.0,0,40.724611681467564,10.0,-74.00350989202876,1.0,1,2,6.0,1,265,5.0,10.0,1,0,0,0,1,1,0,0
13980911,10.0,10.0,10.0,10.0,97.0,0,40.75740721924484,10.0,-73.9268879957995,2.0,1,2,84.0,1,49,5.0,10.0,1,0,0,0,1,0,1,0
7495768,10.0,10.0,10.0,10.0,100.0,0,40.71564675305813,10.0,-73.96171787033512,2.0,2,4,6.0,2,470,5.0,10.0,1,0,0,0,1,1,0,0
17447675,10.0,10.0,10.0,10.0,100.0,0,40.77769676072502,10.0,-73.97633344304842,1.0,1,2,6.0,1,140,5.0,10.0,1,0,0,0,1,1,0,0
20139125,10.0,10.0,10.0,10.0,99.0,1,40.72697942987836,10.0,-74.00468177322605,1.0,3,6,25.0,2,190,5.0,10.0,1,0,0,0,1,1,0,0
21782642,10.0,10.0,10.0,10.0,95.0,0,40.72991165862662,10.0,-74.00042770352732,1.0,1,2,4.0,1,140,5.0,10.0,1,0,0,0,1,1,0,0
22376920,10.0,10.0,10.0,10.0,100.0,0,40.753485128463225,10.0,-73.96545316270489,1.0,2,4,16.0,1,60,5.0,10.0,0,0,1,0,1,0,1,0
15272450,10.0,10.0,10.0,9.0,94.0,1,40.74204848692147,10.0,-73.9875052186684,1.5,5,0,14.0,4,450,4.5,10.0,1,0,0,0,1,1,0,0
9485606,9.0,10.0,8.0,10.0,89.0,0,40.810414753896296,9.0,-73.94449809944874,1.0,5,8,53.0,2,249,4.5,8.0,1,0,0,0,1,1,0,0
19790344,10.0,10.0,10.0,10.0,100.0,0,40.738810130631606,10.0,-73.99740995693313,1.0,1,2,5.0,1,180,5.0,10.0,0,1,0,0,1,0,1,0
22247944,10.0,10.0,10.0,10.0,100.0,0,40.734649088637816,10.0,-74.00672350224849,1.0,1,2,6.0,1,60,5.0,10.0,0,0,1,0,1,0,1,0
19567691,10.0,10.0,10.0,10.0,99.0,1,40.7457224937967,9.0,-74.04452395541828,1.0,2,4,21.0,1,85,5.0,10.0,1,0,0,0,1,1,0,0
20522061,10.0,10.0,10.0,10.0,100.0,0,40.73969029477885,10.0,-73.98962223514245,2.0,3,4,8.0,2,495,5.0,10.0,1,0,0,0,1,1,0,0
1567225,10.0,10.0,9.0,10.0,93.0,0,40.780238571417826,10.0,-73.97942299329219,1.5,5,7,13.0,3,550,4.5,9.0,0,1,0,0,1,0,1,0
15482512,10.0,10.0,9.0,10.0,94.0,0,40.69348861634646,9.0,-73.94438942317723,1.0,1,2,104.0,1,42,4.5,9.0,0,0,1,0,1,0,1,0
5117177,10.0,10.0,10.0,10.0,96.0,1,40.72540289746959,9.0,-73.94912704827638,1.0,2,3,27.0,1,125,5.0,10.0,1,0,0,0,1,1,0,0
44472,10.0,10.0,10.0,10.0,100.0,0,40.728252349439025,10.0,-73.99286253458061,2.0,2,4,16.0,2,450,5.0,10.0,1,0,0,0,1,1,0,0
14539375,10.0,10.0,10.0,10.0,96.0,1,40.80534639964116,10.0,-73.950443675476,1.0,2,4,52.0,1,137,5.0,10.0,1,0,0,0,1,1,0,0
16859099,10.0,10.0,10.0,10.0,100.0,0,40.73661341598465,10.0,-73.92513748928074,1.0,2,2,10.0,1,39,5.0,10.0,0,0,1,0,1,0,1,0
21490678,10.0,10.0,10.0,10.0,100.0,0,40.72311237843689,10.0,-73.99437014267029,1.0,2,3,7.0,2,238,5.0,10.0,1,0,0,0,1,1,0,0
11046443,9.0,10.0,9.0,10.0,91.0,0,40.79735501116645,9.0,-73.94202846875959,1.0,5,6,79.0,0,19,4.5,9.0,1,0,0,1,0,1,0,0
20870083,10.0,10.0,9.0,10.0,100.0,1,40.73916105997468,9.0,-74.05121816357278,1.0,6,0,10.0,3,25,5.0,9.0,1,0,0,0,1,1,0,0
15833352,9.0,9.0,8.0,9.0,84.0,0,40.756435742331135,9.0,-73.9658931213808,1.5,5,8,39.0,3,250,4.0,8.0,1,0,0,0,1,1,0,0
18950540,10.0,10.0,10.0,10.0,98.0,0,40.71840424864175,10.0,-73.99835113146715,2.0,1,1,12.0,1,55,5.0,10.0,0,0,1,0,1,0,1,0
11799747,10.0,10.0,10.0,9.0,97.0,0,40.790700852550295,10.0,-73.97471092158406,1.0,2,4,64.0,1,300,5.0,10.0,1,0,0,0,1,1,0,0
17539664,10.0,10.0,10.0,10.0,98.0,1,40.80648204535065,9.0,-73.9916694822388,2.0,2,5,34.0,2,211,5.0,10.0,1,0,0,0,1,1,0,0
20905799,9.0,10.0,10.0,10.0,94.0,1,40.7948080006316,10.0,-73.974125444023,1.0,2,4,19.0,0,100,4.5,10.0,1,0,0,1,0,1,0,0
20468805,9.0,9.0,8.0,9.0,90.0,1,40.72705449676261,9.0,-73.98598115306669,1.0,1,2,6.0,1,161,4.5,8.0,0,0,1,0,1,0,1,0
8615062,10.0,10.0,10.0,10.0,98.0,1,40.734640577759215,10.0,-74.00083977971131,1.0,1,2,145.0,0,239,5.0,10.0,1,0,0,1,0,1,0,0
