accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
,baths,beds,bedrooms,,,,,false,40.737260653961684,,-74.00084833027103,2.5,6,6,,,5,2590,,,16348791,,Entire home/apt,
,shared bath,bed,bedroom,,,,,true,40.76363969993969,,-73.92557962798276,1,1,2,,,1,1590,,,17494614,,Private room,
,baths,beds,bedrooms,,,,,false,40.73692156748296,,-73.99219253969567,4.5,6,0,,,4,1495,,,6702693,,Entire home/apt,
,baths,beds,bedrooms,,,,,false,40.76431430620727,,-73.97524646595086,1.5,2,3,,,2,2000,,,16811719,,Entire home/apt,
10,baths,beds,bedrooms,10,10,10,100,true,40.71900174729462,10,-74.00784469983702,2.5,2,4,37,13,2,1050,5,,17253883,,Entire home/apt,10
,baths,bed,Studio,,,,,false,40.712559222350166,,-73.93770138794021,3,1,6,61,,0,1025,,,22782930,,Entire home/apt,
10,private baths,beds,bedrooms,10,10,10,100,false,40.72560405043226,10,-73.99486772073533,3,2,5,,6,2,1595,5,,20016493,,Private room,10
,baths,beds,bedrooms,,,,,false,40.76853516149213,,-73.95788648355658,4.5,6,0,,,5,1120,,,22779726,,Entire home/apt,
,baths,beds,bedrooms,,,,,false,40.736554463255246,,-74.00234299066118,3,4,7,,,4,1080,,,22779603,,Entire home/apt,
10,bath,beds,bedroom,10,10,10,94,false,40.755144986877,9,-73.99672203703216,1,2,1,,35,1,1140,4.5,,3907279,,Entire home/apt,10
10,baths,beds,bedrooms,10,9,10,96,false,40.72667576088927,10,-73.98179128371014,2.5,4,8,18,11,3,2500,5,,893413,,Entire home/apt,9
,baths,beds,bedrooms,,,,,false,40.762478951995355,,-73.97380296907443,2,2,4,,,2,3500,,,22888769,,Entire home/apt,
,bath,beds,bedrooms,,,,,false,40.75422143411796,,-73.99418354757637,1,4,8,,,3,1080,,,23075512,,Entire home/apt,
,baths,beds,bedrooms,,,,,false,40.726149069010326,,-73.98840539167885,1.5,4,8,,,4,1999,,,22318899,,Entire home/apt,
,bath,beds,Studio,,,,,false,40.75918636811828,,-74.03633967582047,1,2,3,,,0,1250,,,1950376,,Entire home/apt,
,bath,beds,bedrooms,,,,,false,40.80904457417461,,-73.99432134842792,1,2,5,,,3,2000,,,2261323,,Entire home/apt,
,bath,bed,bedroom,,,,,false,40.728233223735614,,-73.98933469704585,1,1,2,,,1,1999,,,1976123,,Entire home/apt,
,bath,bed,bedroom,,,,,false,40.74879749455269,,-74.02941021057711,1,1,2,1,,1,1250,,,2276537,,Entire home/apt,
,baths,beds,bedrooms,,,,,false,40.76725007600802,,-73.96720771390054,3.5,7,4,25,,5,1500,,,21693390,,Entire home/apt,
10,bath,bed,Studio,10,10,10,100,true,40.737507300663694,10,-73.99170604274137,1,1,1,,3,0,1119,5,,16630172,,Entire home/apt,10
,bath,bed,bedroom,,,,,false,40.75563371055915,,-73.99423548247059,1,1,1,,,1,1450,,,5257388,,Private room,
,baths,bed,bedroom,,,,,false,40.74034156446488,,-74.02919337192627,1.5,1,2,,,1,1500,,,2094052,,Entire home/apt,
,baths,bed,bedroom,,,,,false,40.75130457890116,,-73.98333111551058,2,1,6,,,1,1000,,,21810960,,Entire home/apt,
,bath,bed,bedroom,,,,,false,40.77509282078276,,-74.01551002538699,1,1,2,,,1,1300,,,2237061,,Entire home/apt,
,baths,beds,bedroom,,,,,true,40.76042499600329,,-73.9734528148468,1.5,2,4,,,1,1095,,,15857334,,Entire home/apt,
,private baths,bed,bedroom,,,,,false,40.70827785595218,,-73.9425308026563,2,1,1,,,1,1560,,,20959500,,Private room,
10,baths,beds,bedrooms,10,10,10,98,true,40.72591772605218,10,-73.99933154085322,2,2,5,96,49,2,1200,5,,4660022,,Entire home/apt,10
,bath,beds,bedroom,,,,,false,40.760567441834205,,-73.96294909415352,1,2,4,,,1,1300,,,20320428,,Entire home/apt,
