accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,bath,bed,bedroom,10,10,10,98,true,40.70653060107093,9,-73.93863534816032,1,1,3,35,35,1,79,5,,15820512,,Entire home/apt,10
,bath,bed,bedroom,,,,,false,40.7293245962292,,-73.97857899543803,1,1,2,,,1,73,,,2130489,,Private room,
10,shared bath,bed,bedroom,10,10,10,100,false,40.78806963368335,10,-73.94819716269599,1,1,1,,5,1,80,5,,21709544,,Private room,10
10,bath,beds,bedroom,10,10,10,95,true,40.76218972083459,10,-73.91962843388538,1,3,4,,154,1,75,5,,6812924,,Entire home/apt,10
10,shared bath,bed,bedroom,10,9,10,96,false,40.79399296733041,9,-73.9425462372701,1,1,2,88,49,1,80,5,,4973520,,Private room,9
,bath,bed,bedroom,,,,,false,40.801809876363244,,-73.96101326387335,1,1,1,1,,1,75,,,19700573,,Entire home/apt,
9,bath,bed,Studio,9,9,9,91,false,40.75841544354746,9,-73.99389491783873,1,1,2,,177,0,75,4.5,,3441930,,Entire home/apt,9
10,shared bath,bed,bedroom,10,10,10,99,true,40.708801423672426,10,-73.96181233807857,1,1,2,72,55,1,77,5,,17283498,,Private room,10
10,bath,bed,bedroom,10,10,10,97,true,40.70336722135053,9,-73.93070968993594,1,1,2,105,105,1,70,5,,8456825,,Private room,10
10,shared bath,bed,bedroom,10,10,10,97,true,40.7457168452084,10,-73.92198336774979,1,1,2,,23,1,78,5,,20205846,,Private room,10
10,bath,bed,bedroom,10,10,10,100,false,40.761179451239016,10,-73.98798268403749,1,1,4,,11,1,72,5,,22199465,,Entire home/apt,10
9,bath,bed,bedroom,9,10,9,91,false,40.75802570505719,9,-73.99222887094635,1,1,2,785,195,1,80,4.5,,3377725,,Entire home/apt,10
10,private bath,bed,bedroom,10,10,10,98,true,40.71325282700532,10,-73.9632059108096,1,1,2,94,50,1,85,5,,17210044,,Private room,10
9,bath,beds,bedroom,10,10,10,97,true,40.72522355456194,10,-74.03680037540171,1,3,4,402,49,1,80,5,,17691946,,Entire home/apt,10
,shared bath,bed,bedroom,,,,,false,40.761602204254515,,-73.99088535153837,1,1,2,,,1,85,,,21961713,,Private room,
10,bath,bed,bedroom,10,9,10,94,true,40.71850012567606,10,-73.95686664041389,1,1,2,,59,1,89,4.5,,9592585,,Private room,9
,bath,bed,Studio,,,,,false,40.765427209302366,,-73.95554291706625,1,1,2,,,0,80,,,6363361,,Entire home/apt,
,bath,bed,Studio,,,,,false,40.7947369306613,,-73.9740539390282,1,1,2,,,0,80,,,19805940,,Entire home/apt,
9,private baths,bed,bedroom,10,9,10,97,true,40.714453005463945,10,-73.99079590553306,2,1,2,,140,1,90,5,,61492,,Private room,9
10,bath,bed,bedroom,10,10,10,95,false,40.76990588441591,9,-74.02458020725302,1,1,2,,21,1,90,5,,16005942,,Entire home/apt,10
10,shared bath,bed,bedroom,10,10,10,97,true,40.796567278118005,9,-73.96239887030569,1,1,2,42,36,1,90,5,,13944942,,Private room,10
10,bath,bed,bedroom,10,10,10,100,true,40.76390761043137,10,-73.99224603349518,1,1,2,89,88,1,82,5,,1444400,,Private room,10
10,private baths,bed,bedroom,10,10,10,98,true,40.7464396109468,10,-73.94546941976157,1.5,1,2,,16,1,85,5,,20813802,,Private room,10
10,bath,beds,bedroom,10,10,10,98,true,40.78122004337664,10,-73.9469853055872,1,2,4,36,36,1,82,5,,19547267,,Entire home/apt,10
9,bath,bed,bedroom,9,9,10,93,false,40.767456058843116,10,-73.9550534593646,1,1,4,6,6,1,90,4.5,,19625079,,Entire home/apt,9
,bath,bed,Studio,,,,,false,40.77135102007215,,-73.94766007585162,1,1,3,,,0,80,,,22296346,,Entire home/apt,
,bath,beds,Studio,,,,,false,40.74332596356856,,-74.00358788204927,1,2,3,,,0,85,,,21214353,,Entire home/apt,
,bath,bed,bedroom,,,,,false,40.77041283949033,,-73.91887860731241,1,1,2,10,,1,80,,,22418868,,Entire home/apt,
